Name,Role,Role,Bio,Image,Email,GitHub,Twitter,LinkedIn
Dave Horsfall,Team,Project Co-lead,Leads the DIRECT framework and community strategy.,assets/img/team/dave-horsfall.webp,,https://github.com/davehorsfall,,
Aleks Nenadic,Team,Project Co-lead,Leads the DIRECT framework and framework strategy.,assets/img/team/aleksandra-nenadic.webp,,https://github.com/anenadic,,
Adrian D'Alessandro,Team,WebApp Lead,Oversees WebApp architecture and implementation.,assets/img/team/adrian-dallesandro.webp,,https://github.com/AdrianDAlessandro,,
Ryan Smith,Contributor,,,,,,,
Andrew Gait,Contributor,,,,,,,
Bryn Ubald,Contributor,,,,,,,
Jason Klebes,Contributor,,,,,,,
Sam Bland,Team,,,,,,,
Barney Dobson,Contributor,,,,,,,
Saranjeet Kaur,Team,,,,,,,
Aman Goel,Team,,,,,,,
Phil Reed,Team,Engagement Lead,Leads the engagement and adoption activities,assets/img/team/phil-reed.webp,,https://github.com/PhilReedData,,
Toby Hodges,Contributor,,,,,,,
GeoDaoyu,Contributor,,,,,,,
Christopher Cave-Ayland,Contributor,,,,,,,
Sahil Raja,Contributor,,,,,,,
Connor Aird,Contributor,,,,,,,
Emma Hogan,Team,,,,,,,
Matt Craddock,Contributor,,,,,,,
Tamora James,Team,,,,,,,
Becky Osselton,Contributor,,,,,,,
Eli Chadwick,Contributor,,,,,,,
Gabriel Hanganu,Contributor,,,,,,,
Hannah Williams,Contributor,,,,,,,
Matthew Bluteau,Contributor,,,,,,,
Patricia Loto,Contributor,,,,,,,
Camille Santistevan,Contributor,,,,,,,
Ella Kaye,Contributor,,,,,,,
Jonathan Cooper,Team,,,,,,,
Samantha Wittke,Contributor,,,,,,,
Sarah Gibson,Contributor,,,,,,,
Iain Barrass,Contributor,,,,,,,
Lieke de Boer,Contributor,,,,,,,
Martin O'Reilly,Contributor,,,,,,,
Nadine Spychala,Contributor,,,,,,,
Paul K Korir,Contributor,,,,,,,
Sean Marshallsay,Contributor,,,,,,,
Diego Alonso Alvarez,Contributor,,,,,,,
